徐月敏	上海交大附属第六人民医院	泌尿外科
傅强	上海交大附属第六人民医院	泌尿外科
柳港	潍坊医学院附属医院	泌尿外科
祝增军	潍坊医学院附属医院	泌尿外科
郎芳	潍坊医学院附属医院	泌尿外科
李宝	潍坊医学院附属医院	泌尿外科
高佃军	潍坊医学院附属医院	泌尿外科
赵坚	上海中医药大学附属普陀医院	耳鼻喉科
孔中雨	上海中医药大学附属普陀医院	耳鼻喉科
徐峰	上海中医药大学附属普陀医院	耳鼻喉科
沈伟	上海中医药大学附属普陀医院	耳鼻喉科
岑刚	上海交大附属第一人民医院	普外科中心
吴卫东	上海交大附属第一人民医院	普外科中心
丁红华	上海交大附属第一人民医院	肿瘤科
刘斌	中国科学院上海药物研究所	--
陈晋	重庆医科大学附属第二医院	神经外科
黄琴	重庆医科大学附属第二医院	神经外科
汪峰	重庆医科大学附属第二医院	神经外科
黄俊潮	湖北科技学院	核技术与化学生物学院
孙承操	武汉大学	公共卫生学院（现健康学院）劳动卫生与环境卫生学系
张婷	武汉大学	公共卫生学院（现健康学院）劳动卫生与环境卫生学系
潘磊	武汉大学	公共卫生学院（现健康学院）劳动卫生与环境卫生学系
王素青	武汉大学	公共卫生学院（现健康学院）劳动卫生与环境卫生学系
何启强	武汉大学	公共卫生学院（现健康学院）劳动卫生与环境卫生学系
李得加	武汉大学	公共卫生学院（现健康学院）劳动卫生与环境卫生学系
刘玲	广西医科大学附属肿瘤医院	妇瘤科
邹静	广西医科大学附属肿瘤医院	妇瘤科
王琪	广西医科大学附属肿瘤医院	妇瘤科
张玮	广西医科大学附属肿瘤医院	妇瘤科
李力	广西医科大学附属肿瘤医院	妇瘤科
尹富强	广西医科大学	生命科学研究院
李华	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	肿瘤内科
朱志图	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	肿瘤内科
孙宏治	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	普外科
陆航	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	普外科
毛东	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	普外科
张云	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	妇产科
